amount,time
794.15,Wed Feb 26 11:29:39 2020
794.15,Wed Feb 26 11:29:41 2020
794.25,Wed Feb 26 11:29:43 2020
794.15,Wed Feb 26 11:29:45 2020
794.25,Wed Feb 26 11:29:47 2020
794.25,Wed Feb 26 11:29:49 2020
794.10,Wed Feb 26 11:29:51 2020
794.00,Wed Feb 26 11:29:53 2020
794.00,Wed Feb 26 11:29:55 2020
794.05,Wed Feb 26 11:29:57 2020
794.10,Wed Feb 26 11:29:59 2020
794.10,Wed Feb 26 11:30:01 2020
794.20,Wed Feb 26 11:30:03 2020
794.00,Wed Feb 26 11:30:05 2020
794.05,Wed Feb 26 11:30:07 2020
794.10,Wed Feb 26 11:30:09 2020
794.10,Wed Feb 26 11:30:11 2020
794.10,Wed Feb 26 11:30:13 2020
794.00,Wed Feb 26 11:30:15 2020
794.00,Wed Feb 26 11:30:17 2020
794.20,Wed Feb 26 11:30:19 2020
794.10,Wed Feb 26 11:30:21 2020
794.10,Wed Feb 26 11:30:23 2020
794.10,Wed Feb 26 11:30:25 2020
794.10,Wed Feb 26 11:30:27 2020
794.00,Wed Feb 26 11:30:29 2020
794.00,Wed Feb 26 11:30:31 2020
794.20,Wed Feb 26 11:30:33 2020
794.25,Wed Feb 26 11:30:35 2020
794.20,Wed Feb 26 11:30:37 2020
794.25,Wed Feb 26 11:30:39 2020
794.20,Wed Feb 26 11:30:41 2020
794.25,Wed Feb 26 11:30:43 2020
794.20,Wed Feb 26 11:30:45 2020
794.25,Wed Feb 26 11:30:47 2020
794.25,Wed Feb 26 11:30:49 2020
794.10,Wed Feb 26 11:30:51 2020
794.10,Wed Feb 26 11:30:53 2020
794.10,Wed Feb 26 11:30:55 2020
794.10,Wed Feb 26 11:30:57 2020
794.10,Wed Feb 26 11:30:59 2020
794.15,Wed Feb 26 11:31:01 2020
794.15,Wed Feb 26 11:31:03 2020
794.20,Wed Feb 26 11:31:05 2020
794.20,Wed Feb 26 11:31:07 2020
794.05,Wed Feb 26 11:31:09 2020
794.20,Wed Feb 26 11:31:11 2020
794.05,Wed Feb 26 11:31:13 2020
794.15,Wed Feb 26 11:31:15 2020
794.15,Wed Feb 26 11:31:17 2020
794.20,Wed Feb 26 11:31:19 2020
794.15,Wed Feb 26 11:31:21 2020
794.15,Wed Feb 26 11:31:23 2020
794.15,Wed Feb 26 11:31:25 2020
794.15,Wed Feb 26 11:31:27 2020
794.25,Wed Feb 26 11:31:29 2020
794.20,Wed Feb 26 11:31:31 2020
794.20,Wed Feb 26 11:31:33 2020
794.10,Wed Feb 26 11:31:35 2020
794.10,Wed Feb 26 11:31:37 2020
794.15,Wed Feb 26 11:31:39 2020
794.20,Wed Feb 26 11:31:41 2020
794.10,Wed Feb 26 11:31:43 2020
794.10,Wed Feb 26 11:31:45 2020
794.15,Wed Feb 26 11:31:47 2020
794.15,Wed Feb 26 11:31:49 2020
794.15,Wed Feb 26 11:31:51 2020
794.10,Wed Feb 26 11:31:53 2020
794.15,Wed Feb 26 11:31:55 2020
794.15,Wed Feb 26 11:31:57 2020
794.15,Wed Feb 26 11:31:59 2020
794.10,Wed Feb 26 11:32:01 2020
794.10,Wed Feb 26 11:32:03 2020
794.15,Wed Feb 26 11:32:05 2020
794.15,Wed Feb 26 11:32:07 2020
794.00,Wed Feb 26 11:32:09 2020
794.10,Wed Feb 26 11:32:11 2020
794.00,Wed Feb 26 11:32:13 2020
794.00,Wed Feb 26 11:32:15 2020
794.10,Wed Feb 26 11:32:17 2020
794.10,Wed Feb 26 11:32:19 2020
794.05,Wed Feb 26 11:32:21 2020
794.10,Wed Feb 26 11:32:23 2020
794.00,Wed Feb 26 11:32:25 2020
794.00,Wed Feb 26 11:32:27 2020
794.05,Wed Feb 26 11:32:29 2020
794.00,Wed Feb 26 11:32:31 2020
