amount,time
1983.05,Tue Feb 25 12:09:56 2020
1983.20,Tue Feb 25 12:09:58 2020
1983.40,Tue Feb 25 12:10:00 2020
1983.60,Tue Feb 25 12:10:02 2020
1983.00,Tue Feb 25 12:10:04 2020
1982.70,Tue Feb 25 12:10:06 2020
1982.00,Tue Feb 25 12:10:08 2020
1981.50,Tue Feb 25 12:10:10 2020
1982.80,Tue Feb 25 12:10:12 2020
1981.50,Tue Feb 25 12:10:14 2020
1982.60,Tue Feb 25 12:10:16 2020
1983.10,Tue Feb 25 12:10:18 2020
1983.60,Tue Feb 25 12:10:20 2020
1983.00,Tue Feb 25 12:10:22 2020
1983.00,Tue Feb 25 12:10:24 2020
1982.40,Tue Feb 25 12:10:26 2020
1984.25,Tue Feb 25 12:10:28 2020
1983.00,Tue Feb 25 12:10:30 2020
1983.60,Tue Feb 25 12:10:32 2020
1984.00,Tue Feb 25 12:10:34 2020
1983.50,Tue Feb 25 12:10:36 2020
1982.50,Tue Feb 25 12:10:38 2020
1983.45,Tue Feb 25 12:10:40 2020
1982.90,Tue Feb 25 12:10:42 2020
1983.10,Tue Feb 25 12:10:44 2020
1983.10,Tue Feb 25 12:10:46 2020
1983.10,Tue Feb 25 12:10:48 2020
1983.10,Tue Feb 25 12:10:50 2020
1983.10,Tue Feb 25 12:10:52 2020
1983.10,Tue Feb 25 12:10:54 2020
1983.60,Tue Feb 25 12:10:56 2020
1982.75,Tue Feb 25 12:10:58 2020
1982.75,Tue Feb 25 12:11:00 2020
1982.75,Tue Feb 25 12:11:02 2020
1982.75,Tue Feb 25 12:11:04 2020
1982.75,Tue Feb 25 12:11:06 2020
1982.75,Tue Feb 25 12:11:08 2020
1982.75,Tue Feb 25 12:11:10 2020
1982.75,Tue Feb 25 12:11:12 2020
1983.50,Tue Feb 25 12:11:14 2020
1983.50,Tue Feb 25 12:11:16 2020
1983.55,Tue Feb 25 12:11:18 2020
1983.90,Tue Feb 25 12:11:20 2020
1983.00,Tue Feb 25 12:11:22 2020
1982.95,Tue Feb 25 12:11:24 2020
1983.90,Tue Feb 25 12:11:26 2020
1982.85,Tue Feb 25 12:11:28 2020
1982.85,Tue Feb 25 12:11:30 2020
1981.50,Tue Feb 25 12:11:32 2020
1981.00,Tue Feb 25 12:11:34 2020
1981.50,Tue Feb 25 12:11:36 2020
1981.30,Tue Feb 25 12:11:38 2020
1982.00,Tue Feb 25 12:11:40 2020
1982.05,Tue Feb 25 12:11:42 2020
1981.55,Tue Feb 25 12:11:44 2020
1982.00,Tue Feb 25 12:11:46 2020
1982.05,Tue Feb 25 12:11:48 2020
1982.15,Tue Feb 25 12:11:50 2020
1982.15,Tue Feb 25 12:11:52 2020
1982.05,Tue Feb 25 12:11:54 2020
1982.05,Tue Feb 25 12:11:56 2020
1982.05,Tue Feb 25 12:11:58 2020
1982.05,Tue Feb 25 12:12:00 2020
1982.10,Tue Feb 25 12:12:02 2020
1982.25,Tue Feb 25 12:12:04 2020
1983.15,Tue Feb 25 12:12:06 2020
1983.00,Tue Feb 25 12:12:08 2020
1983.20,Tue Feb 25 12:12:10 2020
1983.00,Tue Feb 25 12:12:12 2020
1983.90,Tue Feb 25 12:12:14 2020
1983.05,Tue Feb 25 12:12:16 2020
1983.80,Tue Feb 25 12:12:18 2020
1983.15,Tue Feb 25 12:12:20 2020
1983.80,Tue Feb 25 12:12:22 2020
1983.85,Tue Feb 25 12:12:24 2020
1984.00,Tue Feb 25 12:12:26 2020
1983.15,Tue Feb 25 12:12:28 2020
1982.95,Tue Feb 25 12:12:30 2020
1982.25,Tue Feb 25 12:12:32 2020
1983.25,Tue Feb 25 12:12:34 2020
1982.35,Tue Feb 25 12:12:36 2020
1983.80,Tue Feb 25 12:12:38 2020
1984.00,Tue Feb 25 12:12:40 2020
1983.10,Tue Feb 25 12:12:42 2020
1983.10,Tue Feb 25 12:12:44 2020
1983.35,Tue Feb 25 12:12:46 2020
1983.70,Tue Feb 25 12:12:48 2020
1983.00,Tue Feb 25 12:12:50 2020
1983.00,Tue Feb 25 12:12:52 2020
1981.40,Tue Feb 25 12:12:54 2020
1982.00,Tue Feb 25 12:12:56 2020
1982.00,Tue Feb 25 12:12:58 2020
1982.00,Tue Feb 25 12:13:00 2020
1982.10,Tue Feb 25 12:13:02 2020
1982.05,Tue Feb 25 12:13:04 2020
1982.30,Tue Feb 25 12:13:06 2020
1982.30,Tue Feb 25 12:13:08 2020
1982.95,Tue Feb 25 12:13:10 2020
1982.30,Tue Feb 25 12:13:12 2020
1982.55,Tue Feb 25 12:13:14 2020
1983.00,Tue Feb 25 12:13:16 2020
1982.30,Tue Feb 25 12:13:18 2020
1983.00,Tue Feb 25 12:13:20 2020
1983.00,Tue Feb 25 12:13:22 2020
1981.25,Tue Feb 25 12:13:24 2020
1981.80,Tue Feb 25 12:13:26 2020
1981.80,Tue Feb 25 12:13:28 2020
1981.25,Tue Feb 25 12:13:30 2020
1981.80,Tue Feb 25 12:13:32 2020
1981.80,Tue Feb 25 12:13:34 2020
1981.80,Tue Feb 25 12:13:36 2020
1981.95,Tue Feb 25 12:13:38 2020
1981.20,Tue Feb 25 12:13:40 2020
1981.20,Tue Feb 25 12:13:42 2020
1981.20,Tue Feb 25 12:13:44 2020
1981.65,Tue Feb 25 12:13:46 2020
1981.65,Tue Feb 25 12:13:48 2020
1981.20,Tue Feb 25 12:13:50 2020
1981.00,Tue Feb 25 12:13:52 2020
1981.20,Tue Feb 25 12:13:54 2020
1981.00,Tue Feb 25 12:13:56 2020
1981.20,Tue Feb 25 12:13:58 2020
1981.20,Tue Feb 25 12:14:00 2020
1981.20,Tue Feb 25 12:14:02 2020
1981.65,Tue Feb 25 12:14:04 2020
1981.65,Tue Feb 25 12:14:06 2020
1982.00,Tue Feb 25 12:14:08 2020
1983.00,Tue Feb 25 12:14:10 2020
1982.75,Tue Feb 25 12:14:12 2020
1982.95,Tue Feb 25 12:14:14 2020
1982.00,Tue Feb 25 12:14:16 2020
1982.00,Tue Feb 25 12:14:18 2020
1982.00,Tue Feb 25 12:14:20 2020
1983.00,Tue Feb 25 12:14:22 2020
1982.05,Tue Feb 25 12:14:24 2020
1982.90,Tue Feb 25 12:14:26 2020
1982.95,Tue Feb 25 12:14:28 2020
1982.00,Tue Feb 25 12:14:30 2020
1982.00,Tue Feb 25 12:14:32 2020
1982.00,Tue Feb 25 12:14:34 2020
1982.00,Tue Feb 25 12:14:36 2020
1981.90,Tue Feb 25 12:14:38 2020
1981.75,Tue Feb 25 12:14:40 2020
1982.00,Tue Feb 25 12:14:42 2020
1981.65,Tue Feb 25 12:14:44 2020
1982.00,Tue Feb 25 12:14:46 2020
1981.55,Tue Feb 25 12:14:48 2020
1981.50,Tue Feb 25 12:14:50 2020
1981.50,Tue Feb 25 12:14:52 2020
1981.40,Tue Feb 25 12:14:54 2020
1981.50,Tue Feb 25 12:14:56 2020
1981.50,Tue Feb 25 12:14:58 2020
1981.30,Tue Feb 25 12:15:00 2020
1983.00,Tue Feb 25 12:15:02 2020
1981.85,Tue Feb 25 12:15:04 2020
1982.00,Tue Feb 25 12:15:06 2020
1981.45,Tue Feb 25 12:15:08 2020
1981.45,Tue Feb 25 12:15:10 2020
1981.40,Tue Feb 25 12:15:12 2020
1981.40,Tue Feb 25 12:15:14 2020
1981.45,Tue Feb 25 12:15:16 2020
1982.00,Tue Feb 25 12:15:18 2020
1982.00,Tue Feb 25 12:15:20 2020
1982.00,Tue Feb 25 12:15:22 2020
1982.00,Tue Feb 25 12:15:24 2020
1981.45,Tue Feb 25 12:15:26 2020
1981.80,Tue Feb 25 12:15:28 2020
1981.50,Tue Feb 25 12:15:30 2020
1981.50,Tue Feb 25 12:15:32 2020
1981.50,Tue Feb 25 12:15:34 2020
1982.00,Tue Feb 25 12:15:36 2020
1981.30,Tue Feb 25 12:15:38 2020
1981.25,Tue Feb 25 12:15:40 2020
1981.00,Tue Feb 25 12:15:42 2020
1981.00,Tue Feb 25 12:15:44 2020
1981.00,Tue Feb 25 12:15:46 2020
1981.05,Tue Feb 25 12:15:48 2020
1981.15,Tue Feb 25 12:15:50 2020
1981.15,Tue Feb 25 12:15:52 2020
1981.45,Tue Feb 25 12:15:54 2020
1982.75,Tue Feb 25 12:15:56 2020
1983.20,Tue Feb 25 12:15:58 2020
1983.20,Tue Feb 25 12:16:00 2020
1983.20,Tue Feb 25 12:16:02 2020
1982.30,Tue Feb 25 12:16:04 2020
1983.20,Tue Feb 25 12:16:06 2020
1983.15,Tue Feb 25 12:16:08 2020
1982.05,Tue Feb 25 12:16:10 2020
1982.85,Tue Feb 25 12:16:12 2020
1982.85,Tue Feb 25 12:16:14 2020
1982.25,Tue Feb 25 12:16:16 2020
1983.20,Tue Feb 25 12:16:18 2020
1982.25,Tue Feb 25 12:16:20 2020
1982.80,Tue Feb 25 12:16:22 2020
1982.90,Tue Feb 25 12:16:24 2020
1982.90,Tue Feb 25 12:16:26 2020
1982.85,Tue Feb 25 12:16:28 2020
1982.95,Tue Feb 25 12:16:30 2020
1982.30,Tue Feb 25 12:16:32 2020
1982.30,Tue Feb 25 12:16:34 2020
1982.15,Tue Feb 25 12:16:36 2020
1982.85,Tue Feb 25 12:16:38 2020
1982.85,Tue Feb 25 12:16:40 2020
1982.85,Tue Feb 25 12:16:42 2020
1982.15,Tue Feb 25 12:16:44 2020
1982.30,Tue Feb 25 12:16:46 2020
1982.30,Tue Feb 25 12:16:48 2020
1982.10,Tue Feb 25 12:16:50 2020
1981.50,Tue Feb 25 12:16:52 2020
1982.15,Tue Feb 25 12:16:54 2020
1982.15,Tue Feb 25 12:16:56 2020
1982.15,Tue Feb 25 12:16:58 2020
1982.15,Tue Feb 25 12:17:00 2020
1982.15,Tue Feb 25 12:17:02 2020
1982.00,Tue Feb 25 12:17:04 2020
1982.20,Tue Feb 25 12:17:06 2020
1982.20,Tue Feb 25 12:17:08 2020
1982.15,Tue Feb 25 12:17:10 2020
1982.15,Tue Feb 25 12:17:12 2020
1981.60,Tue Feb 25 12:17:14 2020
1982.95,Tue Feb 25 12:17:16 2020
1982.15,Tue Feb 25 12:17:18 2020
1982.00,Tue Feb 25 12:17:20 2020
1982.95,Tue Feb 25 12:17:22 2020
1982.70,Tue Feb 25 12:17:24 2020
1982.70,Tue Feb 25 12:17:26 2020
1982.70,Tue Feb 25 12:17:28 2020
1982.70,Tue Feb 25 12:17:30 2020
1982.70,Tue Feb 25 12:17:32 2020
1982.25,Tue Feb 25 12:17:34 2020
1982.25,Tue Feb 25 12:17:36 2020
1983.00,Tue Feb 25 12:17:38 2020
1982.70,Tue Feb 25 12:17:40 2020
1983.00,Tue Feb 25 12:17:42 2020
1983.00,Tue Feb 25 12:17:44 2020
1983.00,Tue Feb 25 12:17:46 2020
1982.90,Tue Feb 25 12:17:48 2020
1982.90,Tue Feb 25 12:17:50 2020
1982.90,Tue Feb 25 12:17:52 2020
1982.50,Tue Feb 25 12:17:54 2020
1982.45,Tue Feb 25 12:17:56 2020
1982.50,Tue Feb 25 12:17:58 2020
1982.50,Tue Feb 25 12:18:00 2020
1982.50,Tue Feb 25 12:18:02 2020
1983.00,Tue Feb 25 12:18:04 2020
