percentage,amount,time
3.10,1983.05,1582612796520
3.10,1983.20,1582612798519
3.11,1983.40,1582612800531
3.12,1983.60,1582612802662
3.09,1983.00,1582612804659
3.08,1982.70,1582612806624
3.04,1982.00,1582612808656
3.02,1981.50,1582612810657
3.08,1982.80,1582612812617
3.02,1981.50,1582612814660
3.07,1982.60,1582612816659
3.10,1983.10,1582612818660
3.12,1983.60,1582612820662
3.09,1983.00,1582612822622
3.09,1983.00,1582612824634
3.06,1982.40,1582612826656
3.16,1984.25,1582612828656
3.09,1983.00,1582612830619
3.12,1983.60,1582612832918
3.15,1984.00,1582612834659
3.12,1983.50,1582612836655
3.07,1982.50,1582612838622
3.12,1983.45,1582612840658
3.09,1982.90,1582612842630
3.10,1983.10,1582612844658
3.10,1983.10,1582612846657
3.10,1983.10,1582612848657
3.10,1983.10,1582612850637
3.10,1983.10,1582612852654
3.10,1983.10,1582612854654
3.12,1983.60,1582612856622
3.08,1982.75,1582612858656
3.08,1982.75,1582612860654
3.08,1982.75,1582612862655
3.08,1982.75,1582612864618
3.08,1982.75,1582612866664
3.08,1982.75,1582612868655
3.08,1982.75,1582612870655
3.08,1982.75,1582612872658
3.12,1983.50,1582612874657
3.12,1983.50,1582612876626
3.12,1983.55,1582612878658
3.14,1983.90,1582612880659
3.09,1983.00,1582612882617
3.09,1982.95,1582612884657
3.14,1983.90,1582612886648
3.09,1982.85,1582612888657
3.09,1982.85,1582612890655
3.02,1981.50,1582612892654
2.99,1981.00,1582612894658
3.02,1981.50,1582612896654
3.00,1981.30,1582612898654
3.04,1982.00,1582612900653
3.04,1982.05,1582612902654
3.02,1981.55,1582612904623
3.04,1982.00,1582612906632
3.04,1982.05,1582612908640
3.05,1982.15,1582612910651
3.05,1982.15,1582612912654
3.04,1982.05,1582612914658
3.04,1982.05,1582612916625
3.04,1982.05,1582612918656
3.04,1982.05,1582612920655
3.05,1982.10,1582612922629
3.05,1982.25,1582612924655
3.10,1983.15,1582612926655
3.09,1983.00,1582612928638
3.10,1983.20,1582612930622
3.09,1983.00,1582612932656
3.14,1983.90,1582612934636
3.10,1983.05,1582612936616
3.13,1983.80,1582612938656
3.10,1983.15,1582612940653
3.13,1983.80,1582612942627
3.14,1983.85,1582612944657
3.15,1984.00,1582612946651
3.10,1983.15,1582612948653
3.09,1982.95,1582612950653
3.05,1982.25,1582612952618
3.11,1983.25,1582612954651
3.06,1982.35,1582612956653
3.13,1983.80,1582612958655
3.15,1984.00,1582612960655
3.10,1983.10,1582612962654
3.10,1983.10,1582612964615
3.11,1983.35,1582612966616
3.13,1983.70,1582612968654
3.09,1983.00,1582612970626
3.09,1983.00,1582612972653
3.01,1981.40,1582612974653
3.04,1982.00,1582612976621
3.04,1982.00,1582612978651
3.04,1982.00,1582612980647
3.05,1982.10,1582612982654
3.04,1982.05,1582612984622
3.06,1982.30,1582612986615
3.06,1982.30,1582612988614
3.09,1982.95,1582612990654
3.06,1982.30,1582612992652
3.07,1982.55,1582612994626
3.09,1983.00,1582612996635
3.06,1982.30,1582612998513
3.09,1983.00,1582613000639
3.09,1983.00,1582613002653
3.00,1981.25,1582613004625
3.03,1981.80,1582613006623
3.03,1981.80,1582613008647
3.00,1981.25,1582613010652
3.03,1981.80,1582613012615
3.03,1981.80,1582613014610
3.03,1981.80,1582613016649
3.04,1981.95,1582613018647
3.00,1981.20,1582613020622
3.00,1981.20,1582613022649
3.00,1981.20,1582613024628
3.02,1981.65,1582613026651
3.02,1981.65,1582613028651
3.00,1981.20,1582613030651
2.99,1981.00,1582613032615
3.00,1981.20,1582613034613
2.99,1981.00,1582613036611
3.00,1981.20,1582613038651
3.00,1981.20,1582613040652
3.00,1981.20,1582613042647
3.02,1981.65,1582613044652
3.02,1981.65,1582613046650
3.04,1982.00,1582613048609
3.09,1983.00,1582613050649
3.08,1982.75,1582613052649
3.09,1982.95,1582613054614
3.04,1982.00,1582613056652
3.04,1982.00,1582613058651
3.04,1982.00,1582613060649
3.09,1983.00,1582613062650
3.04,1982.05,1582613064651
3.09,1982.90,1582613066637
3.09,1982.95,1582613068650
3.04,1982.00,1582613070650
3.04,1982.00,1582613072648
3.04,1982.00,1582613074649
3.04,1982.00,1582613076624
3.04,1981.90,1582613078632
3.03,1981.75,1582613080609
3.04,1982.00,1582613082651
3.02,1981.65,1582613084621
3.04,1982.00,1582613086611
3.02,1981.55,1582613088650
3.02,1981.50,1582613090632
3.02,1981.50,1582613092650
3.01,1981.40,1582613094650
3.02,1981.50,1582613096652
3.02,1981.50,1582613098649
3.00,1981.30,1582613100648
3.09,1983.00,1582613102648
3.03,1981.85,1582613104648
3.04,1982.00,1582613106646
3.01,1981.45,1582613108648
3.01,1981.45,1582613110648
3.01,1981.40,1582613112650
3.01,1981.40,1582613114649
3.01,1981.45,1582613116645
3.04,1982.00,1582613118649
3.04,1982.00,1582613120622
3.04,1982.00,1582613122650
3.04,1982.00,1582613124650
3.01,1981.45,1582613126611
3.03,1981.80,1582613128644
3.02,1981.50,1582613130647
3.02,1981.50,1582613132650
3.02,1981.50,1582613134629
3.04,1982.00,1582613136648
3.00,1981.30,1582613138628
3.00,1981.25,1582613140609
2.99,1981.00,1582613142648
2.99,1981.00,1582613144610
2.99,1981.00,1582613146610
2.99,1981.05,1582613148653
3.00,1981.15,1582613150645
3.00,1981.15,1582613152651
3.01,1981.45,1582613154647
3.08,1982.75,1582613156606
3.10,1983.20,1582613158646
3.10,1983.20,1582613160647
3.10,1983.20,1582613162606
3.06,1982.30,1582613164647
3.10,1983.20,1582613166648
3.10,1983.15,1582613168609
3.04,1982.05,1582613170645
3.09,1982.85,1582613172646
3.09,1982.85,1582613174640
3.05,1982.25,1582613176647
3.10,1983.20,1582613178648
3.05,1982.25,1582613180621
3.08,1982.80,1582613182625
3.09,1982.90,1582613184649
3.09,1982.90,1582613186630
3.09,1982.85,1582613188646
3.09,1982.95,1582613190644
3.06,1982.30,1582613192612
3.06,1982.30,1582613194608
3.05,1982.15,1582613196644
3.09,1982.85,1582613198605
3.09,1982.85,1582613200645
3.09,1982.85,1582613202645
3.05,1982.15,1582613204609
3.06,1982.30,1582613206646
3.06,1982.30,1582613208647
3.05,1982.10,1582613210646
3.02,1981.50,1582613212644
3.05,1982.15,1582613214649
3.05,1982.15,1582613216606
3.05,1982.15,1582613218645
3.05,1982.15,1582613220641
3.05,1982.15,1582613222646
3.04,1982.00,1582613224649
3.05,1982.20,1582613226646
3.05,1982.20,1582613228616
3.05,1982.15,1582613230609
3.05,1982.15,1582613232645
3.02,1981.60,1582613234646
3.09,1982.95,1582613236641
3.05,1982.15,1582613238646
3.04,1982.00,1582613240646
3.09,1982.95,1582613242646
3.08,1982.70,1582613244608
3.08,1982.70,1582613246611
3.08,1982.70,1582613248606
3.08,1982.70,1582613250644
3.08,1982.70,1582613252634
3.05,1982.25,1582613254643
3.05,1982.25,1582613256643
3.09,1983.00,1582613258619
3.08,1982.70,1582613260643
3.09,1983.00,1582613262643
3.09,1983.00,1582613264642
3.09,1983.00,1582613266606
3.09,1982.90,1582613268644
3.09,1982.90,1582613270642
3.09,1982.90,1582613272640
3.07,1982.50,1582613274621
3.06,1982.45,1582613276639
3.07,1982.50,1582613278621
3.07,1982.50,1582613280641
3.07,1982.50,1582613282604
3.09,1983.00,1582613284644
3.07,1982.50,1582613286643
3.09,1983.00,1582613288647
3.09,1982.90,1582613290644
3.09,1983.00,1582613292644
3.09,1983.00,1582613294625
3.09,1983.00,1582613296643
3.06,1982.45,1582613298644
3.14,1983.95,1582613300618
3.15,1984.00,1582613302643
3.18,1984.70,1582613304625
3.15,1984.00,1582613306645
3.06,1982.40,1582613308640
3.18,1984.70,1582613310642
3.13,1983.75,1582613312600
3.09,1983.00,1582613314646
3.15,1984.00,1582613316643
3.15,1984.00,1582613318642
3.15,1984.00,1582613320638
3.15,1984.00,1582613322605
3.15,1984.00,1582613324614
3.12,1983.50,1582613326643
3.13,1983.80,1582613328640
3.13,1983.80,1582613330642
3.18,1984.60,1582613332640
3.15,1984.00,1582613334644
3.11,1983.25,1582613336640
3.12,1983.50,1582613338609
3.12,1983.60,1582613340604
3.15,1984.00,1582613342641
3.17,1984.50,1582613344617
3.12,1983.60,1582613346640
3.16,1984.35,1582613348642
3.15,1984.00,1582613350631
3.09,1983.00,1582613352640
3.16,1984.25,1582613354642
3.16,1984.35,1582613356613
3.15,1984.00,1582613358640
3.16,1984.35,1582613360643
3.16,1984.35,1582613362641
3.15,1984.00,1582613364640
3.17,1984.45,1582613366639
3.16,1984.35,1582613368642
3.18,1984.70,1582613370640
3.17,1984.50,1582613372644
3.17,1984.50,1582613374643
3.18,1984.70,1582613376642
3.20,1985.00,1582613378642
3.19,1984.95,1582613380641
3.18,1984.70,1582613382641
3.19,1984.95,1582613384640
3.20,1985.00,1582613386639
3.17,1984.50,1582613388641
3.17,1984.50,1582613390610
3.15,1984.00,1582613392642
3.15,1984.00,1582613394639
3.10,1983.10,1582613396637
3.10,1983.20,1582613398641
3.13,1983.80,1582613400641
3.10,1983.20,1582613402639
3.15,1984.00,1582613404639
3.10,1983.20,1582613406641
3.14,1983.90,1582613408601
3.09,1983.00,1582613410639
3.09,1983.00,1582613412639
3.09,1982.85,1582613414601
3.09,1983.00,1582613416641
3.07,1982.50,1582613418640
3.09,1983.00,1582613420599
3.07,1982.50,1582613422641
3.07,1982.50,1582613424639
3.07,1982.50,1582613426638
3.02,1981.60,1582613428640
3.04,1982.00,1582613430640
3.04,1982.00,1582613432614
3.04,1982.00,1582613434636
3.02,1981.60,1582613436639
3.04,1981.95,1582613438637
3.04,1982.00,1582613440641
3.08,1982.75,1582613442638
3.05,1982.25,1582613444596
3.05,1982.25,1582613446638
3.09,1983.00,1582613448639
3.09,1982.90,1582613450637
3.10,1983.20,1582613452639
3.10,1983.20,1582613454637
