amount,time
1958.35,6985-01-30 08:29:47
1958.60,6985-01-30 08:34:47
1958.95,6985-01-30 08:39:47
1959.50,6985-01-30 08:46:24
1958.95,6985-01-30 08:51:20
1959.85,6985-01-30 08:54:47
1959.20,6985-01-30 09:01:24
1959.80,6985-01-30 09:04:47
1959.25,6985-01-30 09:11:20
1959.25,6985-01-30 09:16:24
1959.25,6985-01-30 09:21:24
1959.60,6985-01-30 09:26:20
1960.00,6985-01-30 09:31:23
1959.60,6985-01-30 09:36:19
1960.00,6985-01-30 09:39:57
1959.30,6985-01-30 09:46:22
1959.90,6985-01-30 09:51:22
1959.90,6985-01-30 09:56:22
1959.90,6985-01-30 10:01:20
1959.35,6985-01-30 10:06:24
1960.00,6985-01-30 10:11:20
1959.00,6985-01-30 10:16:20
1959.00,6985-01-30 10:21:22
1959.65,6985-01-30 10:26:21
1959.70,6985-01-30 10:31:19
1960.00,6985-01-30 10:36:21
1960.00,6985-01-30 10:41:24
1959.70,6985-01-30 10:46:20
1959.65,6985-01-30 10:51:20
1959.65,6985-01-30 10:56:23
1959.70,6985-01-30 11:01:24
1959.90,6985-01-30 11:06:20
1959.65,6985-01-30 11:11:20
1959.65,6985-01-30 11:16:21
1959.85,6985-01-30 11:21:23
1959.80,6985-01-30 11:26:20
1959.90,6985-01-30 11:31:23
1959.90,6985-01-30 11:36:23
1959.90,6985-01-30 11:41:19
1959.90,6985-01-30 11:46:22
1959.60,6985-01-30 11:51:23
1959.60,6985-01-30 11:56:23
1959.00,6985-01-30 12:01:24
1959.00,6985-01-30 12:06:23
1958.95,6985-01-30 12:11:20
1959.00,6985-01-30 12:16:23
1958.30,6985-01-30 12:21:23
1958.20,6985-01-30 12:26:23
1958.35,6985-01-30 12:31:22
1958.75,6985-01-30 12:36:23
1958.40,6985-01-30 12:41:23
1958.40,6985-01-30 12:46:23
1958.50,6985-01-30 12:51:19
1959.00,6985-01-30 12:56:23
1958.50,6985-01-30 13:01:23
1958.20,6985-01-30 13:06:20
1958.50,6985-01-30 13:11:21
1958.20,6985-01-30 13:16:23
1958.50,6985-01-30 13:21:20
1958.20,6985-01-30 13:26:21
1958.50,6985-01-30 13:31:23
1958.50,6985-01-30 13:36:20
1958.50,6985-01-30 13:41:20
1958.30,6985-01-30 13:46:20
1958.80,6985-01-30 13:51:23
1958.50,6985-01-30 13:56:23
1959.00,6985-01-30 14:01:23
1958.25,6985-01-30 14:06:23
1958.25,6985-01-30 14:11:19
1958.00,6985-01-30 14:16:22
1957.95,6985-01-30 14:21:23
1957.95,6985-01-30 14:26:23
1958.00,6985-01-30 14:31:20
1958.20,6985-01-30 14:36:23
1957.25,6985-01-30 14:41:19
1957.25,6985-01-30 14:46:19
1958.20,6985-01-30 14:51:19
1958.50,6985-01-30 14:56:23
1957.75,6985-01-30 15:01:23
1958.50,6985-01-30 15:06:20
1958.00,6985-01-30 15:11:23
1958.00,6985-01-30 15:16:22
1957.55,6985-01-30 15:21:23
1956.85,6985-01-30 15:26:23
1956.95,6985-01-30 15:31:23
1957.00,6985-01-30 15:36:19
1956.95,6985-01-30 15:41:21
1957.00,6985-01-30 15:46:23
1956.95,6985-01-30 15:51:22
1957.00,6985-01-30 15:56:23
1957.35,6985-01-30 16:01:23
